date,year,month,week_number,district,market,crop,price_rs_kg,season,season_encoded,extent_ha,production_t,yield_t_per_ha,annual_extent_ha,annual_production_t,annual_yield_t_per_ha,seasonal_extent_ha,seasonal_production_t,seasonal_yield_t_per_ha,agstat_source_used
1/8/2019,2019,1,2,nuwaraeliya,nuwaraeliya,eggplants,68,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/8/2019,2019,1,2,nuwaraeliya,nuwaraeliya,pumpkin,28,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/8/2019,2019,1,2,nuwaraeliya,nuwaraeliya,snake gourd,55,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/8/2019,2019,1,2,nuwaraeliya,nuwaraeliya,tomatoes,49,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/8/2019,2019,1,2,puttalam,puttalam,cabbage,35,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/8/2019,2019,1,2,puttalam,puttalam,chili,230,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/8/2019,2019,1,2,puttalam,puttalam,snake gourd,45,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/8/2019,2019,1,2,thambuththegama,thambuththegama,beans,70,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/8/2019,2019,1,2,thambuththegama,thambuththegama,cabbage,51,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/8/2019,2019,1,2,thambuththegama,thambuththegama,carrots,112,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/8/2019,2019,1,2,thambuththegama,thambuththegama,chili,270,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/8/2019,2019,1,2,thambuththegama,thambuththegama,eggplants,74,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/8/2019,2019,1,2,thambuththegama,thambuththegama,pumpkin,12.4,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/8/2019,2019,1,2,thambuththegama,thambuththegama,snake gourd,43,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/8/2019,2019,1,2,thambuththegama,thambuththegama,tomatoes,55,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/15/2019,2019,1,3,colombo,colombo,beans,95.83333333,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/15/2019,2019,1,3,colombo,colombo,cabbage,33.92857143,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/15/2019,2019,1,3,colombo,colombo,carrots,64.16666667,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/15/2019,2019,1,3,colombo,colombo,chili,227.5,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/15/2019,2019,1,3,colombo,colombo,eggplants,77.85714286,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/15/2019,2019,1,3,colombo,colombo,pumpkin,16.66666667,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/15/2019,2019,1,3,colombo,colombo,snake gourd,46.66666667,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/15/2019,2019,1,3,colombo,colombo,tomatoes,57.5,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/15/2019,2019,1,3,dambulla,dambulla,beans,104,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/15/2019,2019,1,3,dambulla,dambulla,cabbage,36,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/15/2019,2019,1,3,dambulla,dambulla,carrots,81,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/15/2019,2019,1,3,dambulla,dambulla,chili,232,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/15/2019,2019,1,3,dambulla,dambulla,eggplants,90,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/15/2019,2019,1,3,dambulla,dambulla,pumpkin,15.8,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/15/2019,2019,1,3,dambulla,dambulla,snake gourd,49,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/15/2019,2019,1,3,dambulla,dambulla,tomatoes,56,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/15/2019,2019,1,3,kandy,kandy,beans,115,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/15/2019,2019,1,3,kandy,kandy,cabbage,44,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/15/2019,2019,1,3,kandy,kandy,carrots,75,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/15/2019,2019,1,3,kandy,kandy,chili,284,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/15/2019,2019,1,3,kandy,kandy,eggplants,85,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/15/2019,2019,1,3,kandy,kandy,pumpkin,22.4,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/15/2019,2019,1,3,kandy,kandy,snake gourd,55,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/15/2019,2019,1,3,kandy,kandy,tomatoes,55,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/15/2019,2019,1,3,keppetipola,keppetipola,beans,113,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/15/2019,2019,1,3,keppetipola,keppetipola,cabbage,27.5,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/15/2019,2019,1,3,keppetipola,keppetipola,carrots,49.44444444,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/15/2019,2019,1,3,keppetipola,keppetipola,chili,207,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/15/2019,2019,1,3,keppetipola,keppetipola,eggplants,79.5,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/15/2019,2019,1,3,keppetipola,keppetipola,pumpkin,35.5,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/15/2019,2019,1,3,keppetipola,keppetipola,tomatoes,45,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/15/2019,2019,1,3,meegoda,meegoda,beans,130,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/15/2019,2019,1,3,meegoda,meegoda,cabbage,53,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/15/2019,2019,1,3,meegoda,meegoda,carrots,92,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/15/2019,2019,1,3,meegoda,meegoda,chili,228,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/15/2019,2019,1,3,meegoda,meegoda,eggplants,96,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/15/2019,2019,1,3,meegoda,meegoda,pumpkin,21,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/15/2019,2019,1,3,meegoda,meegoda,snake gourd,58.33333333,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/15/2019,2019,1,3,meegoda,meegoda,tomatoes,59,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/15/2019,2019,1,3,nuwaraeliya,nuwaraeliya,beans,110,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/15/2019,2019,1,3,nuwaraeliya,nuwaraeliya,cabbage,39,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/15/2019,2019,1,3,nuwaraeliya,nuwaraeliya,carrots,67,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/15/2019,2019,1,3,nuwaraeliya,nuwaraeliya,chili,248,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/15/2019,2019,1,3,nuwaraeliya,nuwaraeliya,eggplants,76,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/15/2019,2019,1,3,nuwaraeliya,nuwaraeliya,pumpkin,34,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/15/2019,2019,1,3,nuwaraeliya,nuwaraeliya,snake gourd,55,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/15/2019,2019,1,3,nuwaraeliya,nuwaraeliya,tomatoes,48,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/15/2019,2019,1,3,puttalam,puttalam,cabbage,32,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/15/2019,2019,1,3,puttalam,puttalam,chili,222,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/15/2019,2019,1,3,puttalam,puttalam,snake gourd,45,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/15/2019,2019,1,3,thambuththegama,thambuththegama,beans,76,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/15/2019,2019,1,3,thambuththegama,thambuththegama,cabbage,35,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/15/2019,2019,1,3,thambuththegama,thambuththegama,carrots,84,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/15/2019,2019,1,3,thambuththegama,thambuththegama,chili,234,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/15/2019,2019,1,3,thambuththegama,thambuththegama,eggplants,68,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/15/2019,2019,1,3,thambuththegama,thambuththegama,pumpkin,14,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/15/2019,2019,1,3,thambuththegama,thambuththegama,snake gourd,43,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/15/2019,2019,1,3,thambuththegama,thambuththegama,tomatoes,47,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/22/2019,2019,1,4,colombo,colombo,beans,72.5,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/22/2019,2019,1,4,colombo,colombo,cabbage,30.76923077,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/22/2019,2019,1,4,colombo,colombo,carrots,70,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/22/2019,2019,1,4,colombo,colombo,chili,155.8333333,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/22/2019,2019,1,4,colombo,colombo,eggplants,58,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/22/2019,2019,1,4,colombo,colombo,pumpkin,16.15384615,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/22/2019,2019,1,4,colombo,colombo,snake gourd,45.83333333,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/22/2019,2019,1,4,colombo,colombo,tomatoes,55,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/22/2019,2019,1,4,dambulla,dambulla,beans,68,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/22/2019,2019,1,4,dambulla,dambulla,cabbage,29,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/22/2019,2019,1,4,dambulla,dambulla,carrots,74,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/22/2019,2019,1,4,dambulla,dambulla,chili,192,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/22/2019,2019,1,4,dambulla,dambulla,eggplants,55,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/22/2019,2019,1,4,dambulla,dambulla,pumpkin,12.8,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/22/2019,2019,1,4,dambulla,dambulla,snake gourd,43,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/22/2019,2019,1,4,dambulla,dambulla,tomatoes,50,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/22/2019,2019,1,4,kandy,kandy,beans,75,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/22/2019,2019,1,4,kandy,kandy,cabbage,32,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/22/2019,2019,1,4,kandy,kandy,carrots,105,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/22/2019,2019,1,4,kandy,kandy,chili,220,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/22/2019,2019,1,4,kandy,kandy,eggplants,57,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/22/2019,2019,1,4,kandy,kandy,pumpkin,30,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/22/2019,2019,1,4,kandy,kandy,snake gourd,48,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/22/2019,2019,1,4,kandy,kandy,tomatoes,45,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/22/2019,2019,1,4,keppetipola,keppetipola,beans,52.5,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/22/2019,2019,1,4,keppetipola,keppetipola,cabbage,23.5,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/22/2019,2019,1,4,keppetipola,keppetipola,carrots,63,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
