image_path,district,season,crop_type,ph,nitrogen,phosphorus,potassium,moisture,organicMatter
images/sample_0097.ppm,Kalutara,Inter-monsoon,Banana,5.94,85.36,22.84,45.45,14.61,2.98
images/sample_0098.ppm,Puttalam,Maha,Potato,6.45,62.95,16.2,45.64,10.28,1.63
images/sample_0099.ppm,Kalutara,Inter-monsoon,Maize,6.83,89.12,14.03,48.45,16.2,2.08
images/sample_0100.ppm,Anuradhapura,Yala,Paddy,6.81,160.59,40.1,91.88,40.79,5.87
images/sample_0101.ppm,Jaffna,Inter-monsoon,Chilli,6.75,202.82,35.32,110.92,57.83,4.72
images/sample_0102.ppm,Colombo,Inter-monsoon,Carrot,5.16,151.97,35.53,82.44,39.99,4.37
images/sample_0103.ppm,Jaffna,Maha,Maize,7.74,121.2,24.43,72.41,36.01,2.54
images/sample_0104.ppm,Trincomalee,Inter-monsoon,Cabbage,7.45,117.78,32.0,65.98,20.12,3.73
images/sample_0105.ppm,Puttalam,Inter-monsoon,Banana,5.09,73.43,15.86,44.26,16.16,1.35
images/sample_0106.ppm,Ampara,Inter-monsoon,Maize,6.62,180.51,38.68,98.36,50.36,5.88
images/sample_0107.ppm,Batticaloa,Yala,Tomato,5.78,133.47,41.22,68.79,21.53,5.37
images/sample_0108.ppm,Badulla,Yala,Maize,5.75,129.13,25.86,71.13,34.08,3.95
images/sample_0109.ppm,Mullaitivu,Maha,Cabbage,7.64,116.7,34.05,39.91,10.46,5.38
images/sample_0110.ppm,Nuwara Eliya,Maha,Potato,5.62,184.67,38.72,98.84,53.2,4.96
images/sample_0111.ppm,Galle,Maha,Maize,5.41,107.37,36.06,39.19,15.96,5.0
images/sample_0112.ppm,Matale,Maha,Banana,5.63,93.29,20.96,57.17,14.55,2.75
images/sample_0113.ppm,Badulla,Yala,Maize,7.67,132.87,36.58,37.57,12.5,6.36
images/sample_0114.ppm,Kilinochchi,Yala,Maize,6.4,111.93,22.09,50.24,19.06,3.28
images/sample_0115.ppm,Kegalle,Yala,Chilli,6.39,127.72,18.61,84.62,41.69,1.02
images/sample_0116.ppm,Kilinochchi,Inter-monsoon,Paddy,5.8,125.42,17.64,89.45,38.32,2.03
images/sample_0117.ppm,Ratnapura,Inter-monsoon,Potato,5.18,144.97,30.05,73.84,25.52,5.27
images/sample_0118.ppm,Moneragala,Maha,Potato,7.26,96.68,32.55,42.17,10.95,4.0
images/sample_0119.ppm,Badulla,Yala,Maize,5.95,118.07,17.61,54.23,26.01,2.48
images/sample_0120.ppm,Matara,Inter-monsoon,Paddy,6.66,197.54,32.41,104.4,56.3,4.64
images/sample_0121.ppm,Ampara,Maha,Cabbage,5.56,114.54,17.81,76.32,28.98,2.62
images/sample_0122.ppm,Hambantota,Inter-monsoon,Banana,7.01,87.0,18.27,58.88,18.97,2.52
images/sample_0123.ppm,Trincomalee,Yala,Tomato,6.45,82.96,19.33,60.68,17.38,1.69
images/sample_0124.ppm,Matale,Maha,Chilli,5.43,120.0,37.32,59.37,18.88,5.66
images/sample_0125.ppm,Matale,Maha,Maize,5.55,156.26,19.11,106.8,55.91,2.52
images/sample_0126.ppm,Kurunegala,Inter-monsoon,Chilli,6.46,131.44,23.28,81.19,33.64,3.9
images/sample_0127.ppm,Galle,Maha,Carrot,6.78,77.53,17.51,62.65,19.35,1.59
images/sample_0128.ppm,Colombo,Inter-monsoon,Chilli,5.13,166.15,36.57,90.07,40.05,6.15
images/sample_0129.ppm,Kegalle,Maha,Potato,6.37,139.66,39.24,63.1,22.62,5.73
images/sample_0130.ppm,Jaffna,Maha,Paddy,5.17,170.81,18.79,102.6,53.28,2.85
images/sample_0131.ppm,Batticaloa,Inter-monsoon,Chilli,6.36,182.03,28.51,105.11,48.68,4.61
images/sample_0132.ppm,Jaffna,Maha,Maize,5.12,183.32,34.04,108.31,50.54,5.93
images/sample_0133.ppm,Jaffna,Inter-monsoon,Potato,5.75,185.36,29.52,90.18,49.68,4.48
images/sample_0134.ppm,Moneragala,Inter-monsoon,Paddy,5.88,98.8,25.39,37.79,10.78,3.54
images/sample_0135.ppm,Vavuniya,Inter-monsoon,Carrot,7.11,108.64,25.99,72.57,24.97,3.45
images/sample_0136.ppm,Kilinochchi,Maha,Tomato,7.03,151.65,24.17,100.98,52.22,2.45
images/sample_0137.ppm,Ratnapura,Yala,Carrot,5.5,118.92,34.34,42.46,14.29,5.97
images/sample_0138.ppm,Kegalle,Yala,Carrot,6.14,113.21,25.45,81.33,30.18,3.22
images/sample_0139.ppm,Batticaloa,Yala,Potato,7.26,83.69,19.83,53.44,17.11,2.53
images/sample_0140.ppm,Kandy,Inter-monsoon,Carrot,6.6,131.99,17.87,94.84,49.83,1.36
images/sample_0141.ppm,Vavuniya,Yala,Maize,5.89,183.4,40.42,83.31,42.75,6.17
images/sample_0142.ppm,Trincomalee,Inter-monsoon,Maize,7.47,120.02,12.09,75.4,32.98,1.7
images/sample_0143.ppm,Moneragala,Maha,Chilli,6.95,195.29,37.74,95.22,49.04,5.85
images/sample_0144.ppm,Hambantota,Maha,Paddy,5.71,153.02,24.15,85.65,42.76,2.48
images/sample_0145.ppm,Kalutara,Inter-monsoon,Paddy,5.36,128.15,33.61,46.61,12.14,6.02
images/sample_0146.ppm,Matale,Inter-monsoon,Maize,5.27,94.98,31.2,35.37,11.64,3.33
images/sample_0147.ppm,Colombo,Yala,Maize,7.71,170.82,29.0,91.3,48.57,5.02
images/sample_0148.ppm,Matale,Yala,Potato,6.89,74.3,24.95,41.08,11.39,2.45
images/sample_0149.ppm,Kurunegala,Inter-monsoon,Cabbage,6.3,169.45,22.38,106.29,53.57,3.88
images/sample_0150.ppm,Colombo,Yala,Tomato,7.23,173.34,23.27,103.18,55.7,3.0
images/sample_0151.ppm,Matara,Yala,Maize,7.46,203.11,44.04,106.29,50.43,6.16
images/sample_0152.ppm,Vavuniya,Inter-monsoon,Banana,7.01,90.17,22.01,47.17,14.03,3.39
images/sample_0153.ppm,Mullaitivu,Maha,Potato,5.91,173.93,37.96,99.46,48.92,5.3
images/sample_0154.ppm,Badulla,Yala,Banana,7.22,102.76,13.6,82.46,32.02,1.89
images/sample_0155.ppm,Batticaloa,Inter-monsoon,Potato,7.23,84.11,20.75,40.89,10.59,2.72
images/sample_0156.ppm,Polonnaruwa,Inter-monsoon,Maize,7.33,102.42,13.61,67.87,30.8,1.63
images/sample_0157.ppm,Kandy,Yala,Maize,6.83,164.11,31.01,91.17,42.97,4.42
images/sample_0158.ppm,Galle,Yala,Maize,7.23,197.33,34.63,106.22,50.22,5.71
images/sample_0159.ppm,Mannar,Inter-monsoon,Cabbage,6.55,150.86,32.03,77.66,38.53,5.11
images/sample_0160.ppm,Ratnapura,Inter-monsoon,Tomato,5.56,150.52,15.38,87.75,44.43,1.96
images/sample_0161.ppm,Mannar,Yala,Banana,5.46,81.79,17.36,54.69,15.22,2.25
images/sample_0162.ppm,Moneragala,Inter-monsoon,Cabbage,6.51,167.11,35.78,108.0,49.23,4.72
images/sample_0163.ppm,Kegalle,Inter-monsoon,Banana,5.45,84.65,22.29,61.46,17.12,2.67
images/sample_0164.ppm,Trincomalee,Yala,Potato,5.45,193.69,32.73,103.4,57.29,5.32
images/sample_0165.ppm,Matale,Inter-monsoon,Tomato,5.26,145.87,37.73,83.42,34.71,5.35
images/sample_0166.ppm,Ampara,Maha,Carrot,6.42,166.27,23.57,97.89,47.44,4.04
images/sample_0167.ppm,Nuwara Eliya,Yala,Tomato,7.42,180.97,35.76,91.92,41.92,5.52
images/sample_0168.ppm,Vavuniya,Maha,Tomato,6.52,183.53,34.44,109.36,51.45,4.5
images/sample_0169.ppm,Moneragala,Maha,Cabbage,4.98,115.22,37.2,55.84,20.77,4.75
images/sample_0170.ppm,Kegalle,Maha,Cabbage,6.55,194.82,33.53,113.7,55.47,4.93
images/sample_0171.ppm,Badulla,Yala,Chilli,7.08,115.43,19.56,69.03,35.15,1.11
images/sample_0172.ppm,Mullaitivu,Inter-monsoon,Potato,7.1,129.2,24.32,82.75,40.87,2.53
images/sample_0173.ppm,Kilinochchi,Yala,Tomato,7.27,143.95,28.79,80.46,33.43,4.24
images/sample_0174.ppm,Kilinochchi,Maha,Paddy,7.26,134.0,18.12,97.75,46.9,1.65
images/sample_0175.ppm,Matara,Maha,Tomato,5.53,100.89,20.57,57.37,19.17,2.05
images/sample_0176.ppm,Mannar,Inter-monsoon,Banana,6.2,96.53,25.16,38.9,10.95,3.66
images/sample_0177.ppm,Mullaitivu,Maha,Cabbage,6.0,155.86,25.92,110.46,53.42,3.05
images/sample_0178.ppm,Vavuniya,Maha,Tomato,5.44,138.82,42.7,66.18,25.43,6.36
images/sample_0179.ppm,Kurunegala,Maha,Chilli,7.71,110.96,38.07,44.79,12.87,6.19
images/sample_0180.ppm,Kegalle,Inter-monsoon,Chilli,6.53,186.81,37.85,105.86,47.62,6.17
images/sample_0181.ppm,Colombo,Yala,Maize,7.59,74.19,18.63,42.1,16.72,1.55
images/sample_0182.ppm,Mannar,Maha,Chilli,6.65,148.75,23.77,77.82,41.27,3.76
images/sample_0183.ppm,Kegalle,Maha,Cabbage,6.11,117.2,32.46,37.38,11.07,5.16
images/sample_0184.ppm,Mullaitivu,Yala,Carrot,6.26,119.03,24.44,65.9,26.68,2.58
images/sample_0185.ppm,Kegalle,Maha,Cabbage,6.93,164.18,19.14,107.16,51.34,3.07
images/sample_0186.ppm,Nuwara Eliya,Inter-monsoon,Paddy,6.17,123.63,33.11,71.66,27.6,4.77
images/sample_0187.ppm,Kurunegala,Inter-monsoon,Paddy,6.11,159.87,36.24,71.32,36.96,4.8
images/sample_0188.ppm,Kilinochchi,Yala,Cabbage,7.6,118.39,17.63,65.8,32.04,2.84
images/sample_0189.ppm,Kurunegala,Inter-monsoon,Chilli,6.18,154.97,22.58,95.13,45.48,3.08
images/sample_0190.ppm,Kalutara,Maha,Potato,5.71,155.42,19.89,101.05,53.97,2.24
images/sample_0191.ppm,Matara,Yala,Potato,6.5,177.43,39.93,93.72,44.86,5.8
images/sample_0192.ppm,Kurunegala,Inter-monsoon,Paddy,6.83,154.51,40.19,72.82,36.3,5.04
images/sample_0193.ppm,Puttalam,Maha,Carrot,7.59,89.46,23.56,55.62,12.73,3.19
images/sample_0194.ppm,Kalutara,Inter-monsoon,Potato,6.11,200.08,37.5,101.62,54.66,5.29
images/sample_0195.ppm,Nuwara Eliya,Maha,Potato,7.13,143.93,15.38,89.03,45.1,1.21
images/sample_0196.ppm,Batticaloa,Inter-monsoon,Chilli,6.38,147.94,28.74,66.67,33.1,4.32
images/sample_0197.ppm,Nuwara Eliya,Inter-monsoon,Maize,6.62,138.31,31.89,66.71,32.72,3.99
images/sample_0198.ppm,Kalutara,Inter-monsoon,Maize,7.25,149.84,26.99,81.68,36.35,4.12
images/sample_0199.ppm,Polonnaruwa,Inter-monsoon,Maize,7.7,118.63,30.17,48.93,21.94,4.84
images/sample_0200.ppm,Galle,Yala,Paddy,6.27,135.97,12.66,89.85,46.61,1.35
images/sample_0201.ppm,Kandy,Maha,Carrot,5.93,161.85,27.35,97.02,46.43,3.88
images/sample_0202.ppm,Kurunegala,Inter-monsoon,Carrot,7.61,154.65,31.67,105.82,46.16,4.0
images/sample_0203.ppm,Hambantota,Inter-monsoon,Banana,5.67,145.69,34.2,87.96,34.97,4.0
images/sample_0204.ppm,Ampara,Maha,Paddy,7.4,126.41,18.45,96.08,44.71,1.45
images/sample_0205.ppm,Kegalle,Inter-monsoon,Carrot,5.16,136.52,19.48,84.83,44.75,2.49
images/sample_0206.ppm,Vavuniya,Yala,Cabbage,7.41,83.15,26.65,40.52,12.03,3.18
images/sample_0207.ppm,Gampaha,Maha,Potato,6.77,155.0,8.71,103.65,57.97,1.21
images/sample_0208.ppm,Mullaitivu,Yala,Maize,6.46,105.45,28.38,59.16,20.84,3.14
images/sample_0209.ppm,Trincomalee,Inter-monsoon,Banana,6.08,120.87,26.79,47.51,20.17,4.48
images/sample_0210.ppm,Hambantota,Inter-monsoon,Banana,6.81,123.74,11.08,70.48,36.94,1.09
images/sample_0211.ppm,Anuradhapura,Yala,Potato,7.14,179.82,33.26,106.26,51.42,3.82
images/sample_0212.ppm,Puttalam,Maha,Maize,6.65,76.15,13.23,41.32,10.02,1.61
images/sample_0213.ppm,Mullaitivu,Inter-monsoon,Potato,6.07,154.43,11.26,115.69,54.5,1.64
images/sample_0214.ppm,Badulla,Inter-monsoon,Chilli,6.34,124.94,25.5,88.46,35.55,3.08
images/sample_0215.ppm,Kalutara,Yala,Tomato,4.92,134.73,35.45,70.22,24.72,4.37
images/sample_0216.ppm,Mullaitivu,Inter-monsoon,Chilli,6.53,170.46,30.73,81.5,39.04,5.51
images/sample_0217.ppm,Matara,Maha,Potato,6.51,81.28,20.22,54.66,18.74,1.54
images/sample_0218.ppm,Mannar,Maha,Chilli,5.41,115.92,21.84,67.69,31.94,2.16
images/sample_0219.ppm,Kandy,Maha,Chilli,7.1,178.99,35.87,113.55,53.71,4.88
images/sample_0220.ppm,Trincomalee,Inter-monsoon,Carrot,6.83,77.79,23.18,47.91,14.44,2.07
images/sample_0221.ppm,Vavuniya,Yala,Tomato,5.47,149.1,34.55,84.34,39.9,4.94
images/sample_0222.ppm,Badulla,Yala,Potato,7.4,69.37,16.97,45.91,11.07,2.23
images/sample_0223.ppm,Matale,Maha,Potato,6.4,149.04,29.75,79.05,36.13,3.79
images/sample_0224.ppm,Matara,Maha,Banana,6.93,120.54,12.92,73.56,32.8,1.17
images/sample_0225.ppm,Ratnapura,Yala,Banana,7.46,184.3,36.6,92.19,50.71,6.16
images/sample_0226.ppm,Jaffna,Maha,Potato,5.23,130.89,24.06,71.48,30.5,3.67
images/sample_0227.ppm,Anuradhapura,Maha,Cabbage,5.69,166.62,24.54,103.0,47.81,3.25
images/sample_0228.ppm,Batticaloa,Inter-monsoon,Banana,6.99,133.68,14.6,86.88,42.62,1.32
images/sample_0229.ppm,Kurunegala,Maha,Banana,5.24,93.96,17.72,62.17,17.3,1.98
images/sample_0230.ppm,Gampaha,Maha,Chilli,5.73,159.84,34.57,89.37,35.79,5.13
images/sample_0231.ppm,Matara,Yala,Maize,7.34,98.9,23.04,75.89,26.58,1.93
images/sample_0232.ppm,Mullaitivu,Maha,Banana,6.4,115.5,19.69,70.74,34.7,1.27
images/sample_0233.ppm,Puttalam,Maha,Paddy,4.91,183.55,44.14,102.95,45.2,6.37
images/sample_0234.ppm,Moneragala,Inter-monsoon,Potato,5.36,162.42,35.73,85.97,39.13,5.24
images/sample_0235.ppm,Trincomalee,Maha,Maize,6.73,118.24,30.26,46.97,20.54,4.8
images/sample_0236.ppm,Mannar,Maha,Potato,6.62,125.87,18.18,97.25,42.66,1.02
images/sample_0237.ppm,Colombo,Yala,Paddy,6.08,107.32,27.69,53.91,23.1,3.95
images/sample_0238.ppm,Kalutara,Maha,Chilli,5.19,105.79,19.7,62.98,31.26,2.03
images/sample_0239.ppm,Hambantota,Maha,Paddy,6.04,155.14,32.53,63.19,32.01,5.1
images/sample_0240.ppm,Moneragala,Yala,Carrot,7.39,149.43,16.77,101.28,51.31,1.47
images/sample_0241.ppm,Matara,Maha,Paddy,7.08,183.5,42.13,101.05,47.11,5.95
images/sample_0242.ppm,Batticaloa,Maha,Carrot,6.98,100.82,30.11,40.37,11.99,5.19
images/sample_0243.ppm,Gampaha,Maha,Potato,6.31,130.87,21.92,84.58,34.05,2.98
images/sample_0244.ppm,Ratnapura,Maha,Maize,5.13,186.59,35.88,98.3,50.05,5.58
images/sample_0245.ppm,Batticaloa,Yala,Carrot,7.47,126.04,34.88,59.85,20.25,5.37
images/sample_0246.ppm,Galle,Maha,Tomato,5.25,122.21,23.14,65.82,28.15,2.87
images/sample_0247.ppm,Vavuniya,Inter-monsoon,Banana,7.31,72.68,9.79,53.12,19.6,1.21
images/sample_0248.ppm,Kalutara,Inter-monsoon,Potato,5.56,161.89,21.27,105.7,49.75,3.56
images/sample_0249.ppm,Mullaitivu,Inter-monsoon,Carrot,5.43,68.79,9.33,57.51,15.99,1.25
images/sample_0250.ppm,Puttalam,Yala,Tomato,5.77,117.86,25.61,70.19,25.86,2.41
images/sample_0251.ppm,Kalutara,Yala,Maize,5.33,158.08,24.81,90.22,39.33,4.06
images/sample_0252.ppm,Anuradhapura,Yala,Tomato,7.34,88.69,23.61,55.05,12.81,2.23
images/sample_0253.ppm,Colombo,Maha,Banana,6.47,164.11,43.49,80.55,32.01,6.11
images/sample_0254.ppm,Jaffna,Inter-monsoon,Banana,7.65,141.0,34.06,66.63,33.3,4.39
images/sample_0255.ppm,Jaffna,Inter-monsoon,Potato,7.36,97.7,20.97,61.81,19.23,2.05
images/sample_0256.ppm,Vavuniya,Yala,Tomato,5.02,139.0,23.07,77.7,38.39,2.71
images/sample_0257.ppm,Matara,Yala,Chilli,6.75,153.21,39.86,85.7,33.06,5.49
images/sample_0258.ppm,Mannar,Yala,Tomato,7.39,119.52,33.38,53.8,18.51,4.0
images/sample_0259.ppm,Colombo,Yala,Chilli,5.49,161.63,25.79,81.58,39.6,4.2
images/sample_0260.ppm,Moneragala,Inter-monsoon,Paddy,4.95,136.25,19.09,71.49,36.13,2.46
images/sample_0261.ppm,Ampara,Maha,Tomato,6.14,145.18,21.66,100.64,52.65,1.66
images/sample_0262.ppm,Badulla,Inter-monsoon,Chilli,5.59,154.0,17.14,95.43,47.38,1.77
images/sample_0263.ppm,Polonnaruwa,Inter-monsoon,Banana,6.14,93.86,22.61,52.8,11.8,3.56
images/sample_0264.ppm,Kandy,Maha,Paddy,6.9,104.22,27.88,50.77,15.38,3.87
