soil_type,district,season,crop_type,ph,nitrogen,phosphorus,potassium,moisture,organicMatter
Red Yellow Podzolic,Galle,Yala,vegetables,4.67,54.34,14.8,32.36,21.87,5.05
Regosol,Mannar,Yala,onion,6.24,25.49,13.94,36.43,9.84,0.8
Alluvial,Kalutara,Maha,big onion,7.09,73.14,37.34,61.2,31.46,5.54
Regosol,Mannar,Maha,tomato,7.04,44.1,18.75,29.58,10.3,1.01
Regosol,Puttalam,Maha,chili,6.35,27.45,23.71,22.44,20.89,2.23
Regosol,Kilinochchi,Yala,groundnut,6.93,35.58,20.59,34.22,13.64,1.42
Regosol,Mullaitivu,Yala,chili,6.46,26.33,21.14,35.46,16.03,2.35
Red Yellow Podzolic,Matara,Yala,vegetables,4.61,56.43,27.33,41.2,26.98,3.45
Red Yellow Podzolic,Kegalle,Maha,rubber,5.6,43.19,13.46,30.18,31.67,4.13
Alluvial,Kalutara,Yala,vegetables,7.1,63.26,38.29,67.43,31.1,3.01
Reddish Brown Earth,Hambantota,Maha,onion,6.66,51.75,31.74,48.45,21.03,2.59
Red Yellow Podzolic,Kegalle,Maha,pepper,5.36,35.12,16.38,40.29,28.64,5.06
Red Yellow Podzolic,Matale,Maha,pepper,4.67,59.79,20.47,40.97,39.41,5.65
Reddish Brown Earth,Hambantota,Yala,onion,6.15,63.04,27.92,39.26,18.92,2.9
Reddish Brown Earth,Kurunegala,Yala,chili,5.88,55.01,27.69,39.87,19.13,1.95
Regosol,Mullaitivu,Maha,onion,6.52,31.52,19.48,21.49,20.81,1.68
Regosol,Mullaitivu,Maha,onion,6.12,37.91,23.58,34.61,19.09,2.34
Reddish Brown Earth,Monaragala,Yala,onion,6.31,48.43,28.47,49.67,14.09,3.13
Red Yellow Podzolic,Galle,Maha,rubber,4.82,50.42,16.04,26.84,34.71,4.46
Reddish Brown Earth,Anuradhapura,Maha,groundnut,5.92,68.54,27.68,49.47,16.36,2.11
Red Yellow Podzolic,Matale,Yala,rubber,4.91,37.57,21.18,41.66,26.52,4.03
Alluvial,Trincomalee,Yala,chili,7.43,84.63,31.25,44.42,28.7,3.17
Alluvial,Gampaha,Maha,paddy,6.14,80.67,33.95,42.56,40.0,5.19
Reddish Brown Earth,Monaragala,Maha,chili,5.99,50.71,23.76,46.34,21.13,2.22
Regosol,Jaffna,Maha,onion,6.47,30.87,22.72,37.93,21.42,2.56
Reddish Brown Earth,Polonnaruwa,Yala,onion,6.23,57.45,28.66,42.24,22.1,2.71
Alluvial,Ampara,Yala,banana,6.23,81.92,34.45,42.63,27.18,5.68
Alluvial,Gampaha,Yala,chili,6.39,73.88,32.72,57.19,31.88,3.68
Alluvial,Gampaha,Yala,banana,6.32,77.03,27.59,59.27,34.7,3.15
Reddish Brown Earth,Polonnaruwa,Maha,chili,6.59,58.8,31.18,44.52,22.18,2.7
Reddish Brown Earth,Monaragala,Yala,maize,5.42,63.05,27.11,42.17,18.65,3.2
Red Yellow Podzolic,Kegalle,Yala,rubber,5.61,52.26,16.72,42.44,23.67,4.94
Reddish Brown Earth,Monaragala,Maha,chili,5.51,51.31,19.97,54.31,25.58,3.75
Alluvial,Ampara,Yala,vegetables,7.38,56.47,29.17,45.35,32.26,4.63
Regosol,Puttalam,Maha,chili,7.13,48.71,23.44,37.66,11.72,1.82
Red Yellow Podzolic,Kegalle,Yala,rubber,5.34,54.62,25.02,41.65,30.31,4.1
Regosol,Kilinochchi,Maha,chili,7.61,26.45,18.84,32.27,17.77,1.77
Alluvial,Gampaha,Maha,banana,6.73,64.5,32.28,59.34,31.06,5.49
Alluvial,Gampaha,Maha,chili,6.75,74.82,38.13,68.14,29.8,5.01
Alluvial,Trincomalee,Maha,big onion,6.39,60.53,32.37,41.04,29.72,4.02
Regosol,Kilinochchi,Yala,chili,6.25,27.89,11.23,19.78,14.95,2.3
Red Yellow Podzolic,Matara,Maha,tea,4.76,45.01,17.42,33.76,35.31,5.19
Red Yellow Podzolic,Galle,Maha,vegetables,5.29,51.23,14.79,39.51,31.24,4.78
Regosol,Mullaitivu,Maha,onion,7.7,48.08,19.06,30.53,19.97,2.53
Regosol,Mannar,Maha,tomato,7.45,39.08,19.28,22.25,22.87,0.87
Reddish Brown Earth,Monaragala,Maha,groundnut,5.78,45.04,24.0,49.27,16.87,3.16
Red Yellow Podzolic,Matara,Yala,cocoa,5.05,36.89,24.71,42.85,27.79,4.75
Reddish Brown Earth,Monaragala,Maha,groundnut,5.89,49.04,34.21,58.06,26.45,2.84
Reddish Brown Earth,Polonnaruwa,Yala,maize,6.53,59.35,25.98,46.01,13.92,1.9
Reddish Brown Earth,Hambantota,Yala,chili,5.77,62.41,30.42,54.58,21.0,2.77
Reddish Brown Earth,Anuradhapura,Maha,maize,6.63,52.61,26.37,37.43,26.85,2.3
Alluvial,Kalutara,Maha,big onion,7.24,68.55,35.9,43.4,38.75,5.66
Alluvial,Batticaloa,Yala,banana,7.29,59.81,29.65,49.52,34.6,4.73
Regosol,Mannar,Maha,watermelon,7.38,40.37,12.34,25.76,20.04,2.04
Alluvial,Colombo,Yala,banana,6.89,80.11,26.14,61.9,34.06,3.54
Red Yellow Podzolic,Matale,Maha,rubber,5.59,44.31,22.08,37.31,35.14,3.29
Alluvial,Ampara,Yala,vegetables,6.31,62.54,33.57,66.7,29.47,3.11
Regosol,Puttalam,Maha,groundnut,6.71,34.24,15.21,21.43,15.52,2.21
Regosol,Puttalam,Maha,groundnut,6.36,33.67,23.96,36.92,17.31,2.05
Alluvial,Trincomalee,Maha,paddy,6.18,74.58,37.53,62.12,30.71,4.67
Regosol,Mullaitivu,Yala,groundnut,7.73,29.29,23.68,31.16,8.0,0.81
Reddish Brown Earth,Polonnaruwa,Maha,maize,5.75,61.55,26.26,46.05,18.73,3.46
Regosol,Mannar,Maha,chili,7.51,43.18,14.19,34.3,20.2,1.19
Alluvial,Gampaha,Maha,vegetables,6.08,58.38,23.28,65.31,39.96,4.61
Red Yellow Podzolic,Matara,Maha,cocoa,5.34,46.06,15.48,44.7,28.77,2.99
Regosol,Puttalam,Maha,chili,6.38,38.11,16.37,25.37,11.33,1.46
Red Yellow Podzolic,Galle,Maha,pepper,5.22,52.21,21.89,32.27,36.83,4.17
Red Yellow Podzolic,Kegalle,Maha,rubber,5.43,43.76,24.59,40.25,26.79,3.87
Regosol,Mullaitivu,Maha,watermelon,7.2,26.09,22.4,21.16,19.87,1.5
Regosol,Mannar,Yala,watermelon,7.13,28.72,20.19,19.79,12.55,1.73
Reddish Brown Earth,Polonnaruwa,Maha,cowpea,6.51,56.05,29.57,52.92,22.05,3.62
Red Yellow Podzolic,Matale,Yala,cocoa,4.96,49.05,21.09,32.39,31.61,2.68
Regosol,Mullaitivu,Yala,groundnut,7.58,44.54,15.66,21.95,9.03,0.8
Alluvial,Colombo,Yala,big onion,6.56,63.54,27.73,69.33,35.83,3.06
Red Yellow Podzolic,Kegalle,Maha,pepper,5.22,58.71,14.68,47.23,32.87,2.75
Red Yellow Podzolic,Galle,Maha,rubber,5.62,55.16,21.82,27.13,32.79,4.17
Alluvial,Gampaha,Maha,chili,7.32,77.07,21.21,68.36,35.58,5.59
Red Yellow Podzolic,Galle,Maha,pepper,5.08,43.57,16.71,43.65,29.08,4.49
Regosol,Mullaitivu,Maha,chili,6.55,49.57,19.51,21.36,10.92,1.7
Reddish Brown Earth,Anuradhapura,Yala,groundnut,6.44,60.45,32.14,57.99,12.84,3.39
Red Yellow Podzolic,Galle,Yala,rubber,4.64,49.99,20.25,26.79,25.34,2.61
Red Yellow Podzolic,Kegalle,Maha,cocoa,4.76,46.93,15.72,44.61,30.07,5.2
Red Yellow Podzolic,Ratnapura,Yala,pepper,5.15,40.46,16.83,37.02,32.12,4.25
Red Yellow Podzolic,Matale,Maha,pepper,5.37,41.2,21.62,41.66,29.25,5.62
Alluvial,Kalutara,Yala,paddy,6.35,73.98,30.98,62.94,37.83,4.58
Reddish Brown Earth,Hambantota,Maha,chili,5.42,68.03,32.66,49.39,23.0,3.26
Alluvial,Gampaha,Yala,big onion,6.33,57.38,33.76,55.5,34.55,4.64
Red Yellow Podzolic,Ratnapura,Maha,tea,5.4,40.54,17.46,40.75,39.85,3.88
Alluvial,Trincomalee,Maha,vegetables,6.26,62.8,30.65,69.12,37.84,3.1
Alluvial,Colombo,Maha,banana,6.54,62.17,41.98,40.48,36.25,3.49
Reddish Brown Earth,Monaragala,Maha,cowpea,6.15,64.08,20.98,47.97,22.7,2.51
Regosol,Puttalam,Yala,onion,6.47,40.21,18.19,25.65,12.25,1.12
Reddish Brown Earth,Kurunegala,Yala,groundnut,6.64,51.98,23.07,58.54,22.58,3.24
Reddish Brown Earth,Monaragala,Maha,chili,5.52,67.76,31.88,57.12,27.24,2.76
Red Yellow Podzolic,Ratnapura,Yala,tea,4.99,46.86,14.45,37.38,31.03,3.68
Alluvial,Trincomalee,Yala,big onion,6.84,68.08,34.23,41.11,23.8,3.21
Alluvial,Colombo,Maha,paddy,7.22,88.46,30.3,53.67,39.1,5.01
Alluvial,Trincomalee,Yala,big onion,6.62,82.63,23.59,46.54,29.03,5.29
Regosol,Puttalam,Yala,chili,6.79,42.6,15.27,37.62,11.02,2.12
Regosol,Kilinochchi,Yala,chili,7.74,37.83,17.41,31.89,12.59,0.85
Regosol,Jaffna,Yala,groundnut,7.09,46.65,19.9,29.44,15.45,1.82
Regosol,Mannar,Yala,groundnut,5.87,37.32,19.86,30.12,8.0,2.31
Regosol,Puttalam,Yala,chili,6.21,26.35,22.85,37.77,16.62,1.91
Reddish Brown Earth,Monaragala,Yala,onion,5.45,45.97,30.13,55.1,17.51,1.91
Reddish Brown Earth,Kurunegala,Maha,maize,6.05,55.77,20.2,48.31,19.43,3.04
Reddish Brown Earth,Hambantota,Maha,maize,5.92,46.85,28.7,36.34,17.66,3.28
Red Yellow Podzolic,Kegalle,Maha,cocoa,5.45,50.85,23.83,29.73,27.37,2.65
Regosol,Mannar,Yala,onion,6.18,26.36,12.56,27.4,8.0,1.45
Reddish Brown Earth,Monaragala,Yala,maize,5.93,66.84,34.0,45.57,23.87,1.9
Red Yellow Podzolic,Matale,Yala,cocoa,4.74,45.28,12.74,29.84,26.58,4.61
Reddish Brown Earth,Kurunegala,Maha,onion,6.52,64.46,34.55,57.77,25.48,3.58
Red Yellow Podzolic,Kegalle,Yala,cocoa,5.66,35.16,26.11,32.45,26.11,4.04
Regosol,Jaffna,Maha,tomato,6.64,43.58,15.45,36.07,12.36,2.48
Reddish Brown Earth,Polonnaruwa,Yala,maize,5.63,58.43,26.99,53.2,16.03,1.81
Alluvial,Batticaloa,Maha,big onion,6.76,78.97,39.91,44.62,31.24,4.36
Reddish Brown Earth,Monaragala,Maha,cowpea,6.06,52.76,25.68,36.42,27.08,2.25
Alluvial,Gampaha,Maha,big onion,7.34,64.99,20.72,52.78,29.25,5.92
Regosol,Puttalam,Maha,tomato,6.64,36.44,16.15,25.08,16.92,1.44
Alluvial,Kalutara,Maha,banana,6.71,77.25,41.13,42.34,35.3,5.21
Alluvial,Kalutara,Maha,banana,7.18,69.55,22.55,66.85,36.91,4.65
Regosol,Kilinochchi,Yala,groundnut,7.4,48.35,11.77,31.27,12.89,0.91
Red Yellow Podzolic,Galle,Maha,pepper,4.7,36.98,26.73,47.31,28.67,3.75
Red Yellow Podzolic,Galle,Yala,tea,4.92,51.34,21.72,30.86,22.4,3.86
Alluvial,Batticaloa,Yala,paddy,6.84,87.32,22.6,49.53,40.0,4.98
Reddish Brown Earth,Polonnaruwa,Maha,cowpea,6.41,64.72,28.13,41.93,28.2,4.06
Red Yellow Podzolic,Matara,Maha,tea,4.5,38.43,12.18,32.41,31.86,4.56
Reddish Brown Earth,Polonnaruwa,Maha,maize,6.01,48.99,29.66,58.08,27.37,3.56
Regosol,Jaffna,Maha,watermelon,7.15,47.18,10.36,31.63,17.11,1.73
Alluvial,Colombo,Yala,paddy,6.87,88.18,21.76,61.91,32.23,5.38
Reddish Brown Earth,Anuradhapura,Maha,cowpea,5.72,48.49,19.74,53.52,21.81,3.01
Reddish Brown Earth,Hambantota,Maha,groundnut,5.79,65.7,19.37,59.79,22.88,1.86
Red Yellow Podzolic,Galle,Yala,vegetables,4.69,51.79,16.01,24.94,30.89,5.35
Red Yellow Podzolic,Matale,Yala,tea,4.84,43.71,25.07,30.98,36.89,5.21
Alluvial,Colombo,Yala,banana,7.14,69.43,24.36,51.86,29.89,4.48
Alluvial,Kalutara,Maha,paddy,7.39,89.03,38.73,54.24,40.0,3.4
Regosol,Puttalam,Maha,onion,7.5,35.98,15.82,33.38,12.46,2.2
Reddish Brown Earth,Anuradhapura,Yala,onion,6.55,55.16,28.55,38.86,21.28,3.35
Reddish Brown Earth,Monaragala,Yala,cowpea,5.45,61.17,22.86,56.55,13.48,3.11
Regosol,Mannar,Yala,watermelon,6.8,48.09,21.8,25.78,8.15,0.87
Red Yellow Podzolic,Matara,Yala,rubber,4.72,40.17,22.21,46.84,28.62,2.85
Regosol,Puttalam,Maha,groundnut,6.3,43.63,20.76,34.91,10.42,1.96
Alluvial,Batticaloa,Maha,vegetables,6.3,75.9,25.97,53.95,40.0,3.23
Red Yellow Podzolic,Matale,Yala,pepper,4.95,52.37,19.86,36.58,25.32,3.63
Regosol,Kilinochchi,Maha,tomato,6.43,31.43,11.61,19.99,11.78,1.06
Red Yellow Podzolic,Galle,Yala,pepper,5.17,45.95,23.15,31.52,27.39,4.93
Red Yellow Podzolic,Kandy,Yala,cocoa,5.27,48.75,13.52,25.89,34.4,2.86
Red Yellow Podzolic,Galle,Yala,vegetables,4.64,50.06,26.74,44.19,24.8,4.2
Reddish Brown Earth,Hambantota,Yala,maize,5.5,60.94,24.18,55.03,21.29,3.71
Alluvial,Gampaha,Maha,big onion,6.33,58.2,24.71,48.24,30.67,5.58
Regosol,Mannar,Yala,chili,7.17,45.67,21.19,21.97,10.79,1.09
Red Yellow Podzolic,Kegalle,Maha,tea,4.89,45.73,20.38,26.57,39.94,5.02
Reddish Brown Earth,Anuradhapura,Maha,groundnut,5.42,52.84,20.57,52.26,20.75,3.65
Regosol,Kilinochchi,Yala,chili,5.98,34.2,23.26,20.35,14.36,1.5
Reddish Brown Earth,Polonnaruwa,Maha,onion,5.73,63.89,31.05,52.02,16.74,1.99
Reddish Brown Earth,Monaragala,Yala,maize,6.5,65.56,19.79,59.02,19.76,3.46
Alluvial,Kalutara,Yala,big onion,7.33,62.14,22.69,64.2,26.63,4.55
Red Yellow Podzolic,Kegalle,Yala,cocoa,5.63,52.12,27.56,27.66,26.22,4.73
Regosol,Mullaitivu,Yala,watermelon,6.75,39.53,18.93,33.81,12.61,1.08
Alluvial,Trincomalee,Yala,chili,6.47,67.43,25.53,55.46,31.9,4.44
Alluvial,Batticaloa,Maha,chili,6.43,84.2,38.47,60.79,35.71,3.27
Red Yellow Podzolic,Kandy,Yala,pepper,4.76,56.52,21.09,32.45,31.24,4.79
Regosol,Mannar,Yala,chili,6.64,35.21,12.04,23.8,8.91,1.79
Red Yellow Podzolic,Kandy,Yala,rubber,5.44,38.32,14.34,29.48,26.16,5.03
Regosol,Mullaitivu,Yala,onion,5.9,41.27,11.75,23.96,12.96,1.33
Red Yellow Podzolic,Kandy,Maha,vegetables,5.8,39.5,24.28,20.67,35.84,5.61
Alluvial,Kalutara,Yala,banana,6.74,73.1,31.25,41.68,32.11,3.99
Reddish Brown Earth,Polonnaruwa,Maha,onion,6.54,47.05,25.59,52.59,15.22,3.01
Reddish Brown Earth,Kurunegala,Maha,chili,6.12,55.69,18.16,36.88,27.0,3.9
Alluvial,Trincomalee,Yala,banana,7.11,84.65,36.67,41.98,36.53,5.76
Alluvial,Ampara,Yala,chili,6.97,78.77,31.72,52.02,27.85,4.66
Regosol,Mullaitivu,Yala,chili,6.95,42.38,17.32,37.72,11.25,1.66
Red Yellow Podzolic,Kandy,Yala,vegetables,5.52,58.87,18.35,39.34,22.02,3.32
Alluvial,Gampaha,Maha,vegetables,6.82,69.25,25.42,48.33,38.37,3.36
Regosol,Jaffna,Yala,onion,7.6,41.82,15.78,35.91,13.39,1.89
Regosol,Mannar,Maha,groundnut,6.78,35.81,21.29,24.2,17.81,1.2
Alluvial,Colombo,Yala,banana,6.47,66.67,36.81,57.07,29.26,4.46
Regosol,Jaffna,Maha,chili,6.01,33.08,10.21,31.08,9.82,1.37
Regosol,Mullaitivu,Maha,chili,6.19,29.4,13.67,20.02,20.62,1.33
Regosol,Kilinochchi,Yala,tomato,6.02,40.91,11.12,19.71,8.85,0.9
Regosol,Kilinochchi,Yala,chili,6.68,25.15,22.18,19.4,9.46,1.81
Regosol,Mullaitivu,Yala,chili,7.46,32.6,15.92,28.11,15.71,2.15
Red Yellow Podzolic,Kandy,Maha,vegetables,5.54,40.36,15.54,25.63,29.22,4.75
Regosol,Puttalam,Yala,watermelon,7.68,47.49,10.73,22.79,12.58,0.99
Alluvial,Batticaloa,Maha,big onion,7.41,66.02,20.28,60.22,36.45,4.23
Regosol,Mullaitivu,Yala,onion,6.9,31.52,19.1,21.27,9.94,2.28
Red Yellow Podzolic,Matara,Yala,tea,5.2,44.69,17.94,29.54,25.22,3.08
Reddish Brown Earth,Kurunegala,Yala,onion,5.99,51.2,19.09,35.53,18.68,2.97
Red Yellow Podzolic,Kegalle,Yala,tea,5.17,47.64,22.2,29.86,30.5,2.98
Regosol,Puttalam,Maha,watermelon,6.17,48.71,15.09,24.09,10.77,0.97
Red Yellow Podzolic,Kandy,Yala,tea,5.61,45.56,14.11,21.77,28.58,5.15
Regosol,Mannar,Yala,onion,7.0,49.54,19.75,31.56,17.22,1.73
Regosol,Mannar,Yala,chili,6.85,32.39,10.67,19.53,8.0,0.97
Alluvial,Batticaloa,Yala,vegetables,7.18,59.44,27.4,54.28,34.35,4.44
Red Yellow Podzolic,Kandy,Maha,cocoa,5.15,49.73,20.07,46.86,26.48,4.86
Red Yellow Podzolic,Matara,Yala,tea,4.58,55.72,26.06,38.53,29.36,5.16
Reddish Brown Earth,Monaragala,Yala,maize,6.35,46.97,28.24,55.56,19.81,2.44
Red Yellow Podzolic,Matale,Maha,rubber,5.17,50.37,12.62,42.41,33.31,2.9
Regosol,Puttalam,Maha,watermelon,7.19,49.55,18.4,24.62,16.96,2.4
Red Yellow Podzolic,Kegalle,Yala,cocoa,5.47,49.91,17.41,44.28,35.72,3.53
Red Yellow Podzolic,Matale,Yala,vegetables,5.46,37.96,15.69,40.28,32.62,3.94
Regosol,Mullaitivu,Maha,tomato,7.25,31.43,16.49,27.07,13.86,1.82
Alluvial,Ampara,Maha,chili,6.79,78.44,36.88,45.87,26.19,5.69
Red Yellow Podzolic,Kandy,Yala,cocoa,5.07,37.12,26.42,44.77,36.78,4.22
Regosol,Mannar,Yala,chili,5.99,38.79,17.3,33.14,8.0,0.84
Regosol,Kilinochchi,Maha,groundnut,7.25,34.76,15.84,36.82,17.53,1.68
Reddish Brown Earth,Polonnaruwa,Maha,chili,6.27,59.1,21.71,52.49,25.74,2.4
Reddish Brown Earth,Kurunegala,Maha,chili,6.54,58.86,19.74,56.15,27.09,2.47
Alluvial,Trincomalee,Yala,chili,7.21,67.39,38.78,45.47,25.5,4.71
Alluvial,Trincomalee,Yala,vegetables,6.41,75.94,27.98,56.03,27.48,3.23
Reddish Brown Earth,Kurunegala,Yala,chili,6.61,66.74,34.67,40.97,17.26,3.51
Alluvial,Colombo,Yala,paddy,7.1,84.43,23.07,56.53,28.55,4.0
Reddish Brown Earth,Anuradhapura,Maha,onion,5.68,51.63,33.87,57.02,24.74,2.71
Red Yellow Podzolic,Matara,Maha,cocoa,5.69,51.18,21.62,23.14,29.4,5.26
Red Yellow Podzolic,Matara,Maha,tea,4.7,36.75,15.1,32.15,31.33,4.97
Alluvial,Kalutara,Maha,vegetables,6.71,58.66,38.91,49.88,31.11,3.45
Regosol,Mannar,Maha,chili,5.96,49.55,13.63,31.47,15.28,0.83
Reddish Brown Earth,Monaragala,Yala,onion,5.6,46.55,19.76,57.48,16.05,3.18
Alluvial,Kalutara,Maha,big onion,6.7,59.16,35.47,45.55,40.0,4.68
Regosol,Jaffna,Maha,onion,7.64,36.05,14.22,30.52,10.35,1.96
Reddish Brown Earth,Anuradhapura,Maha,groundnut,5.42,64.75,22.04,43.09,17.5,1.98
Red Yellow Podzolic,Galle,Maha,tea,5.03,38.92,25.58,41.3,38.45,3.02
Alluvial,Kalutara,Maha,chili,6.35,57.16,36.18,54.67,24.9,5.6
Alluvial,Batticaloa,Yala,paddy,7.38,73.53,30.99,44.36,33.48,3.76
Alluvial,Kalutara,Maha,chili,6.86,57.97,32.72,40.42,27.73,3.69
Alluvial,Trincomalee,Maha,paddy,6.11,75.34,25.51,53.38,40.0,3.58
Alluvial,Batticaloa,Yala,chili,6.24,78.84,40.96,67.17,31.4,4.46
Alluvial,Kalutara,Maha,banana,6.38,64.01,32.55,57.07,27.82,3.2
Regosol,Kilinochchi,Yala,chili,7.7,26.59,15.41,27.5,10.2,2.34
Reddish Brown Earth,Anuradhapura,Yala,cowpea,6.28,69.5,27.92,54.92,22.05,3.18
Alluvial,Kalutara,Yala,paddy,6.28,84.02,21.92,51.72,26.89,5.67
Alluvial,Kalutara,Yala,banana,6.92,69.89,36.04,54.93,35.52,5.45
Red Yellow Podzolic,Matale,Yala,cocoa,4.64,50.35,15.16,38.07,28.47,4.61
Red Yellow Podzolic,Matale,Maha,cocoa,4.62,40.61,27.76,28.66,25.78,4.26
Regosol,Mullaitivu,Maha,groundnut,6.27,35.71,13.41,19.59,10.03,1.68
Alluvial,Colombo,Maha,vegetables,7.04,81.89,33.87,50.78,26.35,4.75
Regosol,Mullaitivu,Maha,watermelon,6.32,33.51,14.97,18.93,18.99,1.34
Alluvial,Kalutara,Maha,banana,6.81,71.48,25.96,68.3,38.05,4.63
Red Yellow Podzolic,Matale,Yala,pepper,5.21,56.14,25.45,43.69,25.71,2.79
Red Yellow Podzolic,Galle,Yala,rubber,5.04,40.58,24.35,40.52,26.55,3.89
Reddish Brown Earth,Kurunegala,Maha,groundnut,5.53,51.4,20.95,38.82,25.4,2.06
Reddish Brown Earth,Anuradhapura,Maha,chili,6.55,49.39,33.63,59.93,22.02,3.13
Alluvial,Batticaloa,Maha,banana,7.47,67.74,36.79,43.35,24.49,4.32
Regosol,Kilinochchi,Yala,onion,6.05,25.35,11.57,18.32,17.4,2.04
